time;APfilt;AP
;ROI#1;ROI#1;ROI#2;ROI#3;ROI#4;ROI#5;ROI#6;ROI#7;ROI#8;ROI#9;ROI#10;ROI#11;ROI#12;ROI#13;ROI#14;ROI#15;ROI#16;ROI#17;ROI#18;ROI#19;ROI#20;ROI#21;ROI#22;ROI#23;ROI#24;ROI#25;ROI#26;ROI#27;ROI#28;ROI#29;ROI#30;ROI#31;ROI#32;
0.000;-79.72;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00;-80.00
0.017;-86.07;-112.04;-94.69;-90.30;-95.47;-96.04;-92.61;-83.99;-103.73;-101.50;-83.34;-81.60;-106.20;-93.10;-51.60;-61.72;-37.22;-91.87;-85.54;-127.87;-73.96;-92.58;-77.84;-103.34;-85.97;-72.17;-88.48;-83.09;-94.09;-53.84;-71.73;-73.43;-72.74
0.033;-84.13;-98.19;-57.72;-79.77;-32.29;-93.47;-61.84;-77.93;-60.15;-63.31;-62.37;-117.18;-98.10;-106.97;-110.63;-82.20;-96.84;-72.30;-124.26;-100.08;-89.46;-58.13;-77.76;-70.33;-92.60;-84.57;-89.97;-102.34;-85.75;-104.25;-101.14;-93.78;-53.97
0.050;-77.31;-76.67;-49.00;-120.93;-113.17;-85.90;-74.66;-87.51;-72.27;-87.63;-76.85;-69.15;-67.31;-56.28;-82.93;-108.73;-82.04;-78.37;11.28;-35.53;-79.44;-57.53;-116.36;-120.65;-76.29;-69.48;-87.93;-69.02;-81.46;-88.36;-50.04;-80.61;-69.33
0.066;-78.07;-78.53;-72.18;-54.21;-78.03;-41.81;-123.38;-55.17;-64.64;-105.13;-76.77;-77.81;-75.05;-107.01;-103.72;-124.01;-69.31;-52.89;-76.19;-75.12;-80.42;-77.06;-117.25;-57.60;-61.12;-98.78;-70.93;-105.83;-76.97;-54.97;-70.32;-68.40;-105.99
0.083;-75.53;-52.89;-113.60;-118.98;-126.38;-68.14;-77.71;-101.53;-92.31;-79.55;-82.86;-68.53;-59.35;-54.45;-42.55;-65.96;-76.19;-82.56;-83.03;-66.46;-44.04;-78.88;-66.21;-72.98;-73.03;-49.05;-65.32;-56.20;-60.78;-113.53;-98.01;-82.01;-67.44
0.099;-85.21;-83.92;-99.00;-36.94;-54.60;-126.30;-101.27;-93.76;-122.50;-55.92;-99.45;-65.37;-56.83;-54.58;-76.37;-64.40;-63.28;-120.21;-120.92;-42.94;-98.69;-98.65;-70.29;-66.66;-87.64;-83.44;-91.05;-84.82;-76.19;-110.83;-80.89;-105.14;-89.74
0.116;-71.92;-67.62;-141.12;-32.38;-56.15;-60.61;-59.19;-66.45;-88.74;-74.14;-61.03;-86.30;-82.90;-50.15;-74.50;7.21;-101.69;-53.06;-81.22;-112.69;-90.87;-70.83;-37.51;-72.04;-101.19;-85.18;-76.59;-66.26;-52.44;-40.04;-100.68;-54.03;-70.31
0.132;-82.07;-68.26;-30.61;-84.63;-92.93;-65.47;-76.65;-93.18;-53.60;-66.99;-111.30;-91.04;-110.71;-120.69;-113.09;-29.85;-99.17;-91.54;-93.71;-64.97;-78.16;-122.28;-69.13;-77.04;-55.20;-89.84;-88.13;-58.77;-98.99;-96.40;-96.19;-47.52;-90.84
0.149;-78.02;-68.95;-88.41;-73.68;-62.49;-95.91;-80.70;-71.55;-75.19;-64.08;-89.21;-74.21;-43.70;-119.65;-68.04;-79.33;-105.39;-67.08;-139.41;-91.74;-79.62;-66.72;-55.42;-59.36;-60.69;-104.37;-74.58;-62.10;-58.26;-92.23;-93.73;-91.47;-122.70
0.165;-73.25;-44.49;-81.49;-70.65;-52.41;-60.51;-83.14;-42.77;-44.75;-64.92;-87.47;-63.21;-93.29;-65.87;-117.12;-87.44;-94.08;-99.37;-16.23;-63.42;-119.14;-89.35;-86.23;-72.26;-112.68;-78.87;-67.14;-79.85;-79.41;-50.01;-59.37;-87.28;-42.29
0.182;-79.84;-102.99;-73.39;-57.56;-113.85;-56.40;-62.09;-121.33;-72.77;-85.44;-63.27;-70.97;-60.33;-55.86;-73.36;-99.75;-122.76;-81.57;-92.45;-61.65;-40.39;-102.90;-91.27;-100.10;-71.18;-79.39;-79.04;-72.94;-104.22;-51.46;-76.67;-101.39;-90.65
0.198;-83.11;-61.67;-90.65;-85.97;-74.89;-90.25;-68.15;-70.09;-110.15;-101.15;-71.47;-73.16;-83.82;-65.26;-34.83;-108.14;-86.85;-59.30;-94.86;-113.57;-80.68;-68.36;-94.93;-88.90;-61.50;-49.28;-81.66;-83.25;-81.52;-105.53;-100.62;-80.60;-112.93
0.215;-73.17;-58.46;-65.64;-60.30;-57.69;-67.69;-53.92;-47.19;-65.21;-78.01;-66.29;-82.44;-57.27;-100.38;-57.48;-200.00;-111.50;-72.59;-45.87;-56.67;-113.69;-69.77;-101.06;-42.70;-108.74;-104.28;-36.79;-90.57;-97.76;-65.72;-49.57;-77.28;-54.82
0.231;-75.57;-73.01;-139.60;-54.25;-85.92;-104.34;-78.83;-75.31;-91.91;-74.99;-78.28;-68.04;-87.97;-92.64;-76.33;-79.44;-53.50;-79.04;-57.88;-68.22;-52.92;-89.91;-47.11;-76.36;-82.48;-93.92;-72.06;-56.79;-66.52;-52.79;-59.68;-91.46;-96.67
