0	-87.6094
0.1	-86.1249
0.2	-84.666
0.3	-83.2299
0.4	-81.8135
0.5	-80.4142
0.6	-79.0296
0.7	-77.6573
0.8	-76.2952
0.9	-74.9412
1	-73.5935
1.1	-72.2505
1.2	-70.9106
1.3	-69.5722
1.4	-68.2341
1.5	-66.8945
1.6	-65.552
1.7	-64.2044
1.8	-62.8486
1.9	-61.4802
2	-60.0918
2.1	-58.6713
2.2	-57.1983
2.3	-55.6373
2.4	-53.9249
2.5	-51.9393
2.6	-49.4244
2.7	-45.7601
2.8	-39.1485
2.9	-24.1662
3	3.73306
3.1	23.3512
3.2	31.4176
3.3	34.5421
3.4	35.726
3.9	35.1308
4	34.7173
4.2	33.8206
4.3	33.3481
4.5	32.3704
4.6	31.8699
4.7	31.3641
4.8	30.8549
4.9	30.3438
5	29.8326
5.1	29.3228
5.2	28.8158
5.4	27.816
5.5	27.3258
5.7	26.3702
5.8	25.9066
6	25.0114
6.1	24.5807
6.3	23.7549
6.4	23.3602
6.6	22.6074
6.7	22.2493
6.9	21.5691
7	21.2465
7.3	20.3466
7.4	20.0682
7.7	19.2936
7.8	19.0546
8.2	18.1854
8.3	17.9883
8.8	17.1095
8.9	16.9531
9.6	16.0101
9.7	15.8946
10.7	14.9447
10.8	14.8671
12.5	13.8858
12.6	13.8437
17.6	12.8482
17.7	12.8425
30.8	13.8393
30.9	13.8529
38.3	14.8528
38.4	14.8656
48	15.8643
48.1	15.8719
80.2	14.8739
80.3	14.861
87.1	13.8762
87.2	13.8601
92.9	12.8724
93	12.8538
98.1	11.8552
98.2	11.8346
102.8	10.8468
102.9	10.8245
107.2	9.82957
107.3	9.80564
111.3	8.81935
111.4	8.79396
115.2	7.80259
115.3	7.7758
118.9	6.78652
119	6.75834
122.4	5.7772
122.5	5.74764
125.8	4.749
125.9	4.71801
129	3.73489
129.1	3.70243
132.1	2.70557
132.2	2.67155
135	1.69666
135.1	1.66102
137.8	0.675836
137.9	0.638468
140.5	-0.356697
140.6	-0.395913
143	-1.35944
143.1	-1.40055
145.4	-2.36872
145.5	-2.41183
147.7	-3.38306
147.8	-3.42827
149.9	-4.40044
150	-4.44785
152	-5.41827
152.1	-5.46794
154	-6.43332
154.1	-6.4853
155.9	-7.44173
156	-7.49604
157.8	-8.49568
157.9	-8.55246
159.6	-9.5383
159.7	-9.59752
161.3	-10.5641
161.4	-10.6257
162.9	-11.567
163	-11.6309
164.5	-12.6072
164.6	-12.6735
166	-13.6167
166.1	-13.6852
167.5	-14.6595
167.6	-14.7302
168.9	-15.6628
169	-15.7356
170.3	-16.695
170.4	-16.7698
171.7	-17.7558
171.8	-17.8327
173	-18.7663
173.1	-18.845
174.3	-19.8011
174.4	-19.8817
175.6	-20.8602
175.7	-20.9427
176.8	-21.8597
176.9	-21.944
178	-22.8806
178.1	-22.9667
179.2	-23.9237
179.3	-24.0116
180.4	-24.9898
180.5	-25.0797
181.5	-25.9883
181.6	-26.0801
182.6	-27.0077
182.7	-27.1014
183.7	-28.0487
183.8	-28.1444
184.8	-29.1116
184.9	-29.2093
185.9	-30.1966
186	-30.2963
186.9	-31.2018
187	-31.3033
187.9	-32.2246
188	-32.3279
188.9	-33.2645
189	-33.3694
189.9	-34.3208
190	-34.4273
190.9	-35.3927
191	-35.5007
191.9	-36.4796
192	-36.589
192.9	-37.5808
193	-37.6917
193.8	-38.5839
193.9	-38.696
194.7	-39.598
194.8	-39.7114
195.6	-40.6232
195.7	-40.7378
196.5	-41.6594
196.6	-41.7753
197.4	-42.7069
197.5	-42.8239
198.3	-43.7657
198.4	-43.8841
199.2	-44.8363
199.3	-44.956
200.1	-45.919
200.2	-46.0401
201	-47.0143
201.1	-47.1368
201.9	-48.1228
202	-48.2468
202.8	-49.245
202.9	-49.3706
203.6	-50.2547
203.7	-50.3817
204.4	-51.2763
204.5	-51.4048
205.2	-52.3103
205.3	-52.4405
206	-53.3572
206.1	-53.489
206.8	-54.4175
206.9	-54.551
207.6	-55.4914
207.7	-55.6266
208.4	-56.5792
208.5	-56.7162
209.2	-57.6809
209.3	-57.8196
210	-58.7963
210.1	-58.9367
210.8	-59.925
210.9	-60.0669
211.6	-61.066
211.7	-61.2094
212.3	-62.0736
212.4	-62.2181
213	-63.0885
213.1	-63.234
213.7	-64.1092
213.8	-64.2554
214.4	-65.134
214.5	-65.2806
215.1	-66.1605
215.2	-66.3071
215.8	-67.1861
215.9	-67.3324
216.5	-68.2079
216.6	-68.3533
217.2	-69.2224
217.3	-69.3665
217.9	-70.2259
218	-70.3681
218.7	-71.3542
218.8	-71.4936
219.5	-72.457
219.6	-72.5928
220.3	-73.5281
220.4	-73.6594
221.1	-74.5614
221.2	-74.6877
222	-75.6722
222.1	-75.7919
222.9	-76.7217
223	-76.8343
223.9	-77.8097
224	-77.9137
225	-78.906
225.1	-79.0004
226.2	-79.9792
226.3	-80.0629
227.5	-80.9989
227.6	-81.0714
229.1	-82.0607
229.2	-82.1204
231.1	-83.1196
231.2	-83.1656
233.8	-84.1615
233.9	-84.193
238.1	-85.1762
238.2	-85.1931
250.3	-86.1898
250.4	-86.1935
358.1	-87.1935
358.2	-87.1938
